# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	117005
#@/user_id	659ce483-6874-4023-8d26-0ead44d09818
a 	啊	c=626 d=2.12741 t=116984
qu jie 	曲解	c=1 d=1.26745e-53 t=116978
qu jin yu 	趨近於	c=3 d=2.69836e-115 t=116978
qu kan 	去看	c=3 d=7.57071e-21 t=116978
qu le 	去了	c=10 d=0.1 t=116980
qu mu 	曲目	c=1 d=7.45419e-15 t=116978
qu na 	去哪	c=1 d=5.8739e-153 t=116978
qu na er 	去哪兒	c=5 d=6.67431e-09 t=116978
qu na li 	去哪裏	c=2 d=1.7282e-142 t=116978
qu ni jia 	去你家	c=2 d=3.91576e-147 t=116978
qu nian 	去年	c=9 d=0.0263839 t=116978
qu nuan 	取暖	c=1 d=9.95351e-05 t=116978
qu shi 	趨勢	c=2 d=3.11743e-53 t=116978
qu shi 	驅使	c=1 d=4.99584e-13 t=116978
qu wan 	去玩	c=1 d=0.00162866 t=116978
qu wang 	去往	c=1 d=0.00257991 t=116978
qu wen 	去問	c=1 d=3.28051e-94 t=116978
qu xian 	區縣	c=7 d=1.99739e-51 t=116978
qu xian 	曲線	c=34 d=0.000111377 t=116978
qu xiang 	去向	c=1 d=1.2171e-76 t=116978
qu xiang 	取向	c=1 d=4.22559e-43 t=116978
qu xiao 	取消	c=12 d=0.676012 t=116978
qu xiao 	取笑	c=1 d=4.05731e-168 t=116978
qu xiao wo 	取笑我	c=1 d=3.74079e-168 t=116978
qu yu 	區域	c=142 d=0.19593 t=116978
qu yu 	趨於	c=2 d=4.46712e-138 t=116978
qu zuo 	去做	c=1 d=7.34173e-42 t=116978
quan 	全	c=45 d=0.00386455 t=116978
quan 	券	c=1 d=1.08791e-51 t=116978
quan 	圈	c=5 d=4.9255e-52 t=116978
quan 	權	c=2 d=1.27294e-45 t=116978
quan 	泉	c=1 d=1.40362e-77 t=116978
quan bei 	圈杯	c=1 d=1.01354e-158 t=116978
quan bu 	全部	c=21 d=7.22896e-07 t=116978
quan chang 	全場	c=1 d=5.96611e-101 t=116978
quan cheng 	全程	c=4 d=0.00106413 t=116978
quan dao 	勸導	c=1 d=1.86463e-36 t=116978
quan dou 	全都	c=2 d=1.92109e-34 t=116978
quan dou shi 	全都是	c=3 d=1.66545e-50 t=116978
quan gong lve 	全攻略	c=1 d=1.20625e-59 t=116978
quan guo 	全國	c=4 d=7.38002e-15 t=116978
quan heng 	權衡	c=2 d=3.82555e-20 t=116978
quan hong 	全红	c=1 d=1.37943e-49 t=116978
quan jia 	全家	c=2 d=0.111359 t=116978
quan jiao 	全角	c=1 d=1.08466e-103 t=116978
quan ju 	全局	c=24 d=0.216536 t=116978
quan ju fen zhi 	全局分支	c=1 d=3.53853e-73 t=116978
quan li 	權利	c=4 d=1.74794e-11 t=116978
quan lian jie 	全連接	c=6 d=1.14906e-18 t=116978
quan lian jie ceng 	全連接層	c=3 d=2.16831e-17 t=116978
quan mian 	全面	c=2 d=8.22948e-32 t=116978
quan mian fa zhan 	全面發展	c=1 d=2.03511e-124 t=116978
quan nian 	全年	c=1 d=1.57924e-111 t=116978
quan pin 	全拼	c=1 d=1 t=116978
quan quan 	圈圈	c=3 d=1.63281e-164 t=116978
quan ri zhi 	全日制	c=4 d=4.06708e-05 t=116978
quan shi 	詮釋	c=2 d=1.1247e-59 t=116978
quan tao 	全套	c=2 d=2.01993e-36 t=116978
quan ti 	全體	c=3 d=1.10837e-34 t=116978
quan ti shu ju ji 	全體數據集	c=1 d=1.30455e-157 t=116978
quan tian 	全天	c=1 d=1.24393e-156 t=116978
quan tu 	全圖	c=4 d=1.0103e-40 t=116978
quan tui 	勸退	c=1 d=6.29639e-176 t=116978
quan wen 	全文	c=1 d=7.74948e-119 t=116978
quan xian 	權限	c=12 d=4.58343e-21 t=116978
quan xin 	全薪	c=1 d=2.47709e-142 t=116978
quan xuan 	全選	c=1 d=6.95385e-168 t=116978
quan yi 	權益	c=1 d=7.94643e-32 t=116978
quan zhi 	全職	c=2 d=6.32682e-27 t=116978
quan zhi 	權值	c=2 d=2.47422e-99 t=116978
quan zhong 	權重	c=24 d=7.51192e-16 t=116978
quan zi 	圈子	c=1 d=2.45618e-13 t=116978
que 	卻	c=7 d=3.06998e-50 t=116978
que 	缺	c=3 d=0.865022 t=116978
que bao 	確保	c=11 d=7.33384e-15 t=116978
que bie 	卻別	c=1 d=8.47145e-20 t=116978
que dian 	缺點	c=5 d=1.36924e-50 t=116978
que ding 	確定	c=28 d=0.00860854 t=116978
que fa 	缺乏	c=5 d=4.69341e-43 t=116978
que han 	缺憾	c=1 d=1.19686e-114 t=116978
que kou 	缺口	c=1 d=1.86116e-161 t=116978
que lou 	缺漏	c=1 d=1.36422e-95 t=116978
que qian 	缺錢	c=2 d=0.000256085 t=116978
que ren 	確認	c=21 d=0.416862 t=116978
que ren 	缺人	c=1 d=3.48562e-131 t=116978
que ren yi xia 	確認一下	c=1 d=5.57942e-48 t=116978
que shao 	缺少	c=2 d=6.98746e-19 t=116978
que shi 	確實	c=54 d=0.00543443 t=116978
que shi 	缺失	c=2 d=8.01674e-18 t=116978
que shi shi 	確實是	c=7 d=0.000370744 t=116978
que xian 	缺陷	c=5 d=1.94685e-08 t=116978
qun 	羣	c=5 d=9.4713e-09 t=116978
qun fa 	羣發	c=2 d=3.67458e-35 t=116978
qun li 	羣裏	c=1 d=4.7923e-53 t=116978
qun zhong 	羣衆	c=1 d=9.13628e-144 t=116978
qun zi 	裙子	c=4 d=7.28749e-43 t=116978
ran 	冉	c=1 d=1.70583e-77 t=116978
ran 	染	c=1 d=7.29121e-49 t=116978
ran 	然	c=0 d=1.19231e-129 t=116978
ran er 	然而	c=28 d=4.46161e-06 t=116978
ran er ni 	然而你	c=1 d=2.29178e-139 t=116978
ran er shui ne ta 	然而誰呢他	c=1 d=1.23071e-148 t=116978
ran hou 	然後	c=240 d=0.0103638 t=116978
ran hou jiu 	然後就	c=1 d=5.38241e-125 t=116978
ran hou nie 	然后捏	c=1 d=1.34404e-08 t=116978
ran se 	染色	c=2 d=1.15187e-05 t=116978
rang 	讓	c=59 d=2.19353e-06 t=116978
rang mo xing 	讓模型	c=1 d=1.11087e-178 t=116978
rang ni 	讓你	c=23 d=1.17695e-05 t=116978
rang ni gei wo 	讓你給我	c=1 d=4.82996e-145 t=116978
rang ni men 	讓你們	c=1 d=2.89948e-112 t=116978
rang nin 	讓您	c=1 d=9.4962e-128 t=116978
rang ren 	讓人	c=2 d=9.22458e-22 t=116978
rang ta 	讓她	c=13 d=0.000280202 t=116978
rang ta 	讓它	c=1 d=1.67387e-31 t=116978
rang ta men 	讓他們	c=1 d=1.09694e-59 t=116978
rang wo 	讓我	c=57 d=0.260561 t=116978
rang wo men 	讓我們	c=4 d=1.18591e-06 t=116978
rang wo shuo 	讓我說	c=1 d=1.45925e-05 t=116978
rang xuan zhong 	讓選中	c=1 d=2.00494e-66 t=116978
rang zi ji 	讓自己	c=1 d=1.53711e-87 t=116978
rao 	繞	c=0 d=1.72397e-26 t=116978
rao dong 	擾動	c=2 d=2.95221e-30 t=116978
rao guo qu 	繞過去	c=1 d=7.58392e-159 t=116978
rao xing 	繞行	c=1 d=3.9605e-163 t=116978
rao yi quan 	繞一圈	c=1 d=8.39777e-123 t=116978
re 	熱	c=3 d=2.05863e-24 t=116978
re ai 	熱愛	c=0 d=4.21468e-43 t=116978
re ai le 	熱愛了	c=1 d=4.23581e-42 t=116978
re dian 	熱點	c=2 d=1.04834e-26 t=116978
re li 	熱力	c=1 d=1.13546e-25 t=116978
re li tu 	熱力圖	c=3 d=1.14116e-24 t=116978
re men 	熱門	c=1 d=5.42317e-08 t=116978
re nao 	惹惱	c=1 d=1.06419e-26 t=116978
re nu 	惹怒	c=4 d=3.37366e-26 t=116978
re qi qiu 	熱氣球	c=3 d=0.0560917 t=116978
re qing 	熱情	c=2 d=1.73421e-124 t=116978
re re 	熱熱	c=1 d=3.57178e-36 t=116978
re shui 	熱水	c=1 d=1.98776e-53 t=116978
re shui hu 	熱水壺	c=1 d=1.45539e-62 t=116978
re sou 	热嗽	c=2 d=5.74017e-51 t=116978
re xue fei teng 	熱血沸騰	c=1 d=6.67388e-67 t=116978
ren 	人	c=100 d=0.264489 t=116978
ren 	任	c=1 d=5.83665e-137 t=116978
ren 	忍	c=2 d=6.85726e-33 t=116978
ren bu liao 	忍不了	c=1 d=2.90105e-89 t=116978
ren cai 	人才	c=45 d=1.30202e-46 t=116978
ren cai yin jin 	人才引進	c=13 d=2.38391e-80 t=116978
ren cai yin jin bu tie 	人才引進補貼	c=1 d=4.62009e-93 t=116978
ren cai zhuan hu 	人才專戶	c=2 d=2.89563e-77 t=116978
ren de 	認得	c=1 d=2.51709e-154 t=116978
ren ding 	認定	c=2 d=1.83625e-32 t=116978
ren ding wei 	認定爲	c=1 d=1.03507e-170 t=116978
ren gong 	人工	c=50 d=2.59992e-05 t=116978
ren gong biao qian 	人工標籤	c=2 d=7.47936e-84 t=116978
ren gong biao zhu 	人工標註	c=4 d=1.03566e-118 t=116978
ren gong fu wu 	人工服務	c=2 d=0.000514764 t=116978
ren gong hu xi 	人工呼吸	c=1 d=1.21213e-28 t=116978
ren gong liu chan 	人工流產	c=1 d=3.97816e-39 t=116978
ren gong zhi neng 	人工智能	c=2 d=1.33266e-55 t=116978
ren gou 	認購	c=1 d=6.26113e-110 t=116978
ren he 	任何	c=15 d=0.499074 t=116978
ren jia 	人家	c=30 d=0.103153 t=116978
ren jun 	人均	c=1 d=3.02768e-121 t=116978
ren kou 	人口	c=0 d=7.26991e-45 t=116978
ren lei 	人類	c=3 d=3.35909e-64 t=116978
ren lei zhi zi 	人類之子	c=1 d=3.09704e-64 t=116978
ren li 	人力	c=10 d=1.12293e-20 t=116978
ren li kai xiao 	人力開銷	c=1 d=2.03899e-117 t=116978
ren lian 	人臉	c=12 d=7.04367e-06 t=116978
ren lian jian suo 	人臉檢索	c=2 d=1.42236e-86 t=116978
ren lian sou suo 	人臉搜索	c=1 d=2.01643e-45 t=116978
ren men 	人們	c=8 d=3.15134e-92 t=116978
ren min 	人民	c=1 d=5.17715e-50 t=116978
ren min bi 	人民幣	c=3 d=0.035437 t=116978
ren min yi yuan 	人民醫院	c=1 d=4.29032e-16 t=116978
ren ming 	人名	c=2 d=4.94013e-38 t=116978
ren ne 	人呢	c=6 d=2.15002e-36 t=116978
ren ran 	荏苒	c=1 d=1.15585e-145 t=116978
ren ren 	人人	c=3 d=7.48217e-26 t=116978
ren ren 	忍忍	c=1 d=2.3067e-39 t=116978
ren ren ying shi 	人人影視	c=1 d=6.83607e-26 t=116978
ren shang ren 	人上人	c=2 d=0.0026852 t=116978
ren shao 	人少	c=1 d=0.00032718 t=116978
ren she ju 	人社局	c=10 d=1.76345e-79 t=116978
ren sheng 	人生	c=4 d=3.38712e-87 t=116978
ren shi 	人事	c=6 d=1.29552e-46 t=116978
ren shi 	認識	c=9 d=7.84002e-05 t=116978
ren shi dao 	認識到	c=4 d=1.1507e-28 t=116978
ren shi dao le 	認識到了	c=1 d=1.28709e-28 t=116978
ren shou 	人手	c=1 d=5.79804e-59 t=116978
ren shou 	忍受	c=2 d=1.1312e-58 t=116978
ren shu 	人數	c=2 d=8.29187e-62 t=116978
ren shuo 	人說	c=1 d=4.64957e-109 t=116978
ren ti 	人體	c=0 d=4.20165e-36 t=116978
ren tong 	認同	c=1 d=7.38882e-29 t=116978
ren tong gan 	認同感	c=1 d=7.02846e-29 t=116978
ren wei 	人爲	c=2 d=5.58055e-21 t=116978
ren wei 	認爲	c=22 d=6.42818e-08 t=116978
ren wu 	任務	c=48 d=0.00511796 t=116978
ren wu ip 	任務iPhone	c=1 d=1.45837e-86 t=116978
ren xiang 	人像	c=3 d=4.0424e-51 t=116978
ren xin 	人心	c=1 d=4.35682e-138 t=116978
ren xing 	人性	c=1 d=2.40511e-148 t=116978
ren xing 	任性	c=4 d=1.20261e-72 t=116978
ren yan 	人眼	c=1 d=7.00651e-51 t=116978
ren yi 	任一	c=1 d=1.23344e-174 t=116978
ren yi 	任意	c=8 d=0.00215492 t=116978
ren yuan 	人員	c=10 d=7.98083e-24 t=116978
ren zhen 	認真	c=3 d=9.95488e-36 t=116978
ren zheng 	認證	c=4 d=1.16711e-66 t=116978
reng 	仍	c=5 d=1.96224e-48 t=116978
reng diao 	扔掉	c=1 d=1.80295e-52 t=116978
reng jiu 	仍舊	c=1 d=5.19834e-98 t=116978
reng le 	扔了	c=1 d=7.80237e-19 t=116978
reng ran 	仍然	c=14 d=2.1788e-16 t=116978
reng ran neng 	仍然能	c=1 d=1.86274e-171 t=116978
reng ran yao 	仍然要	c=1 d=2.18973e-15 t=116978
reng you 	仍有	c=3 d=2.226e-53 t=116978
ri 	日	c=65 d=0.621885 t=116978
ri ben 	日本	c=3 d=8.73457e-51 t=116978
ri chang 	日常	c=8 d=0.0618535 t=116978
ri chang kai zhi 	日常開支	c=1 d=3.51239e-74 t=116978
ri cheng 	日程	c=8 d=1.5123e-42 t=116978
ri cheng an pai 	日程安排	c=1 d=2.36029e-162 t=116978
ri cheng biao 	日程表	c=1 d=3.1003e-47 t=116978
ri ji 	日記	c=4 d=2.61702e-87 t=116978
ri ji ben 	日記本	c=1 d=3.30514e-35 t=116978
ri jin 	日進	c=1 d=8.74942e-135 t=116978
ri jin dou jin 	日進斗金	c=2 d=3.27621e-134 t=116978
ri le 	日勒	c=1 d=4.10071e-43 t=116978
ri li 	日曆	c=7 d=0.477114 t=116978
ri qi 	日期	c=14 d=0.634448 t=116978
ri qu 	日趨	c=1 d=5.23753e-10 t=116978
ri ri ye ye 	日日夜夜	c=2 d=3.76182e-87 t=116978
ri yi 	日益	c=2 d=7.85564e-132 t=116978
ri zhi 	日誌	c=7 d=0.00670434 t=116978
ri zi 	日子	c=4 d=3.69523e-24 t=116978
rong 	榮	c=0 d=1.71537e-26 t=116978
rong he 	融合	c=65 d=0.407366 t=116978
rong hui guan tong 	融會貫通	c=1 d=5.07517e-110 t=116978
rong na 	容納	c=1 d=5.24739e-179 t=116978
rong qi 	容器	c=2 d=1.13115e-38 t=116978
rong qia 	融洽	c=1 d=1.76924e-124 t=116978
rong ru 	融入	c=2 d=8.19846e-17 t=116978
rong yao 	榮耀	c=1 d=4.03416e-27 t=116978
rong yi 	容易	c=12 d=0.165299 t=116978
rong yu 	冗餘	c=8 d=7.44912e-07 t=116978
rong yu 	榮譽	c=3 d=7.48112e-28 t=116978
rong zu er 	容祖兒	c=1 d=2.46078e-35 t=116978
rou 	肉	c=4 d=1.21663e-05 t=116978
rou ip 	肉iPhone	c=1 d=4.45161e-10 t=116978
rou jia mo 	肉夾饃	c=1 d=0.00164502 t=116978
rou rou 	肉肉	c=1 d=2.14799e-112 t=116978
rou yan 	肉眼	c=1 d=7.53797e-108 t=116978
rou yan zhong 	肉眼中	c=1 d=6.91844e-108 t=116978
ru 	入	c=18 d=8.74013e-05 t=116978
ru 	如	c=36 d=0.112482 t=116978
ru chang 	入場	c=3 d=1.50672e-58 t=116978
ru dang 	入黨	c=16 d=2.17496e-53 t=116978
ru gu 	如故	c=2 d=7.27138e-17 t=116978
ru guo 	如果	c=270 d=0.39557 t=116978
ru guo you 	如果有	c=1 d=1.44037e-87 t=116978
ru he 	如何	c=41 d=9.54016e-06 t=116978
ru he yi ju hua 	如何一句話	c=1 d=1.05888e-26 t=116978
ru hu 	入戶	c=3 d=3.94477e-44 t=116978
ru jia 	如家	c=2 d=2.98381e-67 t=116978
ru jin 	入金	c=7 d=3.95724e-110 t=116978
ru jin 	如今	c=2 d=1.19645e-110 t=116978
ru kou 	入口	c=1 d=1.75033e-174 t=116978
ru le 	入了	c=1 d=4.1245e-111 t=116978
ru ni 	如你	c=1 d=0.00640933 t=116978
ru shi 	如實	c=2 d=2.06067e-65 t=116978
ru shou 	入手	c=6 d=9.35603e-12 t=116978
ru shui 	入睡	c=1 d=1.38418e-60 t=116978
ru ti 	如題	c=1 d=0.891366 t=116978
ru tu 	如圖	c=7 d=1.54575e-06 t=116978
ru xia 	如下	c=11 d=0.0526021 t=116978
ru xue 	入學	c=1 d=6.49077e-123 t=116978
ru xue shi 	入學時	c=1 d=8.40349e-131 t=116978
ru yao 	入藥	c=2 d=1.6623e-30 t=116978
ru zhi 	入職	c=51 d=0.0626227 t=116978
ru zhi hou 	入職後	c=2 d=6.87596e-65 t=116978
ru zhi qian 	入職前	c=1 d=6.83097e-76 t=116978
ru zhi shi jian 	入職時間	c=1 d=3.25717e-157 t=116978
ru zuo zhen zhan 	如坐鍼氈	c=1 d=9.29294e-50 t=116978
ruan jian 	軟件	c=19 d=1.5274 t=116978
ruan jian bao 	軟件包	c=3 d=1.19174 t=116978
ruan jian geng xin 	軟件更新	c=1 d=0.522046 t=116978
rui 	瑞	c=3 d=4.65557e-36 t=116978
rui xue 	瑞雪	c=1 d=1.29328e-55 t=116978
run se 	潤色	c=1 d=3.4194e-170 t=116978
ruo 	弱	c=8 d=3.04154e-26 t=116978
ruo 	若	c=1 d=3.23143e-05 t=116978
ruo dian 	弱點	c=2 d=2.59461e-11 t=116978
ruo jian du 	弱監督	c=29 d=2.56701e-17 t=116978
sa 	仨	c=3 d=2.29282e-13 t=116978
sa 	撒	c=1 d=8.29328e-64 t=116978
sa 	灑	c=1 d=2.34308e-76 t=116978
sa hua 	撒花	c=1 d=4.89545e-127 t=116978
sa huang 	撒謊	c=1 d=2.80357e-128 t=116978
sa shou 	撒手	c=1 d=1.78198e-32 t=116978
sai 	塞	c=1 d=1.89507e-50 t=116978
sai bo 	賽博	c=0 d=1.31645e-59 t=116978
sai bo peng ke 	賽博朋克	c=11 d=3.08354e-48 t=116978
sai che 	賽車	c=1 d=3.54913e-20 t=116978
sai ge 	賽格	c=2 d=2.05197e-108 t=116978
san 	③	c=4 d=3.01635e-10 t=116978
san 	三	c=16 d=0.180868 t=116978
san bai 	三百	c=1 d=1.99291e-54 t=116978
san ben 	三本	c=1 d=7.68986e-87 t=116978
san can 	三餐	c=1 d=6.96237e-153 t=116978
san ceng 	三層	c=1 d=2.07221e-160 t=116978
san chang 	三場	c=2 d=6.90258e-11 t=116978
san ci 	三次	c=1 d=2.19563e-76 t=116978
san da 	三大	c=1 d=1.55563e-169 t=116978
san dian 	三點	c=2 d=8.19288e-10 t=116978
san dian lai 	三點來	c=1 d=8.23395e-09 t=116978
san dian shui 	三點水	c=1 d=0.852144 t=116978
san du 	散度	c=8 d=0.000240143 t=116978
san duan 	三段	c=0 d=1.32134e-132 t=116978
san duan hua 	三段話	c=1 d=1.32796e-131 t=116978
san fang 	三方	c=9 d=0.0744532 t=116978
san fang xie yi 	三方協議	c=1 d=0.748264 t=116978
san fen 	三份	c=3 d=7.56899e-17 t=116978
san fen 	三分	c=1 d=3.88076e-159 t=116978
san fo xing 	三佛性	c=2 d=3.67265e-86 t=116978
san fu 	三副	c=1 d=6.29419e-25 t=116978
san ge 	三個	c=23 d=1.63315e-06 t=116978
san ge yue 	三個月	c=2 d=3.34757e-38 t=116978
san ge zi 	三個字	c=1 d=3.81113e-05 t=116978
san hao xue sheng 	三好學生	c=2 d=2.54626e-25 t=116978
san ji 	三級	c=1 d=1.51551e-97 t=116978
san jia 	三家	c=0 d=1.40462e-57 t=116978
san jiao xing 	三角形	c=1 d=9.64003e-99 t=116978
san kuai 	三塊	c=1 d=7.03205e-35 t=116978
san lei 	三類	c=1 d=6.88907e-58 t=116978
san li 	三裏	c=10 d=0.000110163 t=116978
san lie 	散列	c=286 d=9.8181e-05 t=116978
san lie bian ma 	散列編碼	c=11 d=2.33988e-83 t=116978
san lie biao da 	散列表達	c=1 d=3.39505e-86 t=116978
san lie ceng 	散列層	c=3 d=1.75007e-98 t=116978
san lie cha zhao 	散列查找	c=1 d=1.07433e-20 t=116978
san lie jian suo 	散列檢索	c=30 d=0.000141147 t=116978
san lie jian suo yan jiu 	三列檢索研究	c=1 d=9.63604e-06 t=116978
san lie ma 	散列碼	c=77 d=0.000101808 t=116978
san lie zhi 	散列值	c=1 d=6.51908e-85 t=116978
san miao zhong 	三秒鐘	c=1 d=1.35613e-172 t=116978
san nian 	三年	c=9 d=3.82138e-31 t=116978
san nian zhi 	三年制	c=1 d=6.44365e-07 t=116978
san piao 	三票	c=1 d=9.31005e-101 t=116978
san qi 	三期	c=2 d=8.1143e-116 t=116978
san re 	散熱	c=1 d=9.71705e-75 t=116978
san re hao 	散熱好	c=1 d=4.38104e-115 t=116978
san re qi 	散熱器	c=1 d=9.81471e-75 t=116978
san shi 	三十	c=1 d=0.0194482 t=116978
san shi er 	三十二	c=5 d=3.84876e-70 t=116978
san shou 	三手	c=1 d=2.10904e-132 t=116978
san tian 	三天	c=2 d=5.19619e-05 t=116978
san tiao 	三條	c=0 d=2.76171e-11 t=116978
san wan 	三萬	c=3 d=1.94145e-11 t=116978
san wan kuai 	三萬塊	c=1 d=4.04188e-167 t=116978
san wei 	三維	c=1 d=4.84458e-63 t=116978
san xian 	三線	c=1 d=1.61729e-97 t=116978
san xiao shi 	三小時	c=1 d=5.57942e-48 t=116978
san yang 	三洋	c=1 d=1.06899e-167 t=116978
san ye cao 	三葉草	c=2 d=1.53907e-62 t=116978
san yuan zu 	三元组	c=1 d=1.19316e-107 t=116978
san yue 	三月	c=0 d=3.33725e-179 t=116978
san yue di 	三月底	c=1 d=3.35398e-178 t=116978
san zhang 	三張	c=1 d=3.82087e-36 t=116978
san zhang tu 	三張圖	c=1 d=3.84002e-35 t=116978
san zhe 	三者	c=1 d=8.88345e-108 t=116978
san zhen 	三針	c=1 d=8.42982e-109 t=116978
san zhi 	三隻	c=3 d=3.16241e-54 t=116978
san zhong 	三種	c=7 d=9.05145e-05 t=116978
san zhuang 	散裝	c=1 d=1.42245e-28 t=116978
san zu 	三組	c=5 d=0.0369993 t=116978
san zuo 	三作	c=2 d=1.12474e-30 t=116978
sang na 	桑拿	c=0 d=7.69953e-44 t=116978
sang shi 	喪失	c=1 d=3.32375e-101 t=116978
sang zi 	嗓子	c=1 d=3.19744e-57 t=116978
sao 	掃	c=1 d=4.69676e-22 t=116978
sao 	騷	c=1 d=2.63876e-34 t=116978
sao cao zuo 	騷操作	c=1 d=2.65198e-33 t=116978
sao di 	掃地	c=5 d=5.41309e-120 t=116978
sao di ji qi ren 	掃地機器人	c=1 d=7.94701e-121 t=116978
sao hei 	掃黑	c=0 d=1.13392e-09 t=116978
sao hei feng bao 	掃黑風暴	c=1 d=1.1396e-08 t=116978
sao le 	掃了	c=1 d=6.1219e-22 t=116978
sao miao 	掃描	c=7 d=1.35224e-13 t=116978
sao miao ban 	扫描板	c=1 d=1.36943e-81 t=116978
sao miao ji 	掃描機	c=1 d=1.63221e-58 t=116978
sao wei 	掃尾	c=0 d=3.80129e-05 t=116978
sao wei tuan 	掃尾團	c=2 d=0.000830354 t=116978
se 	色	c=4 d=5.9902e-51 t=116978
se cai 	色彩	c=1 d=5.002e-145 t=116978
se qing 	色情	c=1 d=9.9851e-101 t=116978
se se fa dou 	瑟瑟發抖	c=1 d=1.18358e-71 t=116978
sha 	傻	c=10 d=2.57337e-10 t=116978
sha 	啥	c=288 d=0.268907 t=116978
sha 	殺	c=3 d=0.00162445 t=116978
sha 	沙	c=2 d=1.53449e-67 t=116978
sha bi 	傻逼	c=3 d=2.13509e-63 t=116978
sha dai yu 	啥待遇	c=1 d=0.0706512 t=116978
sha de 	沙地	c=1 d=4.9098e-132 t=116978
sha diao 	沙雕	c=3 d=9.72398e-54 t=116978
sha fa 	沙發	c=5 d=2.94249e-50 t=116978
sha fa shang 	沙發上	c=1 d=6.63204e-140 t=116978
sha fang xiang 	啥方向	c=1 d=5.63262e-42 t=116978
sha feng 	殺瘋	c=1 d=0.00327971 t=116978
sha gua 	傻瓜	c=1 d=0.285076 t=116978
sha he 	沙河	c=0 d=2.58081e-155 t=116978
sha he xi 	沙河西	c=1 d=2.59375e-154 t=116978
sha he yi yuan 	沙河医院	c=1 d=4.03651e-122 t=116978
sha le 	傻了	c=2 d=3.29313e-51 t=116978
sha pan 	沙盤	c=1 d=3.2092e-12 t=116978
sha sha 	傻傻	c=1 d=4.50328e-174 t=116978
sha sha 	啥啥	c=1 d=9.86222e-73 t=116978
sha sha sheng 	沙沙聲	c=0 d=1.3761e-51 t=116978
sha shi 	啥事	c=2 d=0.00104621 t=116978
sha shi er 	啥事兒	c=1 d=0.0105145 t=116978
sha shi hou 	啥時候	c=53 d=3.16181e-05 t=116978
sha tou jiao 	沙頭角	c=1 d=0.00050296 t=116978
sha wan yi 	啥玩意	c=1 d=3.37718e-24 t=116978
sha wan yi er 	啥玩意兒	c=1 d=4.02498e-59 t=116978
sha xin xi 	啥信息	c=1 d=1.19247e-159 t=116978
sha yang 	啥樣	c=5 d=3.55638e-45 t=116978
sha ye 	啥也	c=1 d=1.85312e-22 t=116978
sha yi si 	啥意思	c=2 d=1.45193e-34 t=116978
sha zi 	啥子	c=1 d=1.47418e-154 t=116978
sha zui 	沙嘴	c=0 d=3.62317e-58 t=116978
sha zui lu 	沙嘴路	c=7 d=6.12939e-07 t=116978
shai 	曬	c=1 d=1.73622e-167 t=116978
shai xuan 	篩選	c=10 d=1.27562e-11 t=116978
shai xuan chu 	篩選出	c=1 d=4.19737e-23 t=116978
shai xuan wan 	篩選玩	c=1 d=1.57859e-18 t=116978
shan 	刪	c=7 d=1.59999e-29 t=116978
shan 	山	c=9 d=0.00142362 t=116978
shan 	衫	c=1 d=6.90477e-26 t=116978
shan 	閃	c=2 d=2.25449e-05 t=116978
shan chang 	擅長	c=1 d=4.4627e-97 t=116978
shan chu 	刪除	c=48 d=1.61176 t=116978
shan diao 	刪掉	c=12 d=1.61531e-05 t=116978
shan dong 	山東	c=2 d=2.41499e-128 t=116978
shan gan 	善感	c=1 d=1.578e-43 t=116978
shan he 	山河	c=0 d=3.45259e-167 t=116978
shan he ling 	山河令	c=4 d=2.65605e-51 t=116978
shan jian 	刪減	c=5 d=4.59906e-10 t=116978
shan le 	刪了	c=5 d=2.79223e-51 t=116978
shan liang 	善良	c=1 d=8.05281e-13 t=116978
shan mai 	山脈	c=1 d=0.000480828 t=116978
shan qu 	刪去	c=3 d=0.105399 t=116978
shan qu 	山區	c=1 d=1.38422e-31 t=116978
shan tui 	閃退	c=4 d=1.83681e-65 t=116978
shan yi 	善意	c=1 d=2.5674e-34 t=116978
shang 	上	c=308 d=2.84906 t=116998
shang 	傷	c=2 d=1.0422e-45 t=116978
shang 	熵	c=10 d=1.97012e-07 t=116978
shang an 	上岸	c=1 d=3.98561e-61 t=116978
shang ban 	上班	c=37 d=1.00288 t=116992
shang ban le 	上班了	c=1 d=8.88856e-56 t=116978
shang ban qu 	上半去	c=1 d=1.93883e-142 t=116978
shang ban ting 	上班聽	c=1 d=1.18156e-51 t=116978
shang bu liao 	上不了	c=1 d=1.38875e-40 t=116978
shang bu liao ke 	上不了課	c=1 d=1.19324e-49 t=116978
shang bu qu 	上不去	c=3 d=3.23583e-21 t=116978
shang cai yang 	上採樣	c=9 d=3.09282e-48 t=116978
shang chang 	商場	c=4 d=1.24973e-05 t=116978
shang chuan 	上傳	c=23 d=2.1717e-06 t=116978
shang chuan le 	上傳了	c=1 d=7.284e-08 t=116978
shang ci 	上次	c=4 d=5.83325e-42 t=116978
shang dao 	上到	c=1 d=1.80013e-63 t=116978
shang de 	上得	c=1 d=4.62826e-55 t=116978
shang dian 	商店	c=6 d=2.13171e-164 t=116978
shang fang 	上方	c=1 d=1.41415e-18 t=116978
shang fu 	上浮	c=2 d=1.99964e-123 t=116978
shang hai 	上海	c=14 d=0.56773 t=116978
